STORE,UPC,WEEK,MOVE,PRICE,PROFIT
112,3828111217,155,81,0.42,20.95
112,3828111217,156,65,0.42,20.95
112,3828111217,157,56,0.42,20.95
112,3828111217,158,49,0.42,20.95
112,3828111217,159,60,0.42,20.71
112,3828111217,160,64,0.42,20.71
112,3828111217,161,52,0.42,20.71
112,3828111217,162,39,0.42,20.71
112,3828111217,163,34,0.42,20.71
112,3828111217,164,54,0.42,20.71
112,3828111217,165,38,0.42,20.71
112,3828111217,166,45,0.42,20.71
112,3828111217,167,62,0.42,20.71
112,3828111217,168,70,0.42,20.71
112,3828111217,169,54,0.42,20.71
112,3828111217,170,55,0.42,20.71
112,3828111217,171,61,0.42,20.71
112,3828111217,172,53,0.42,20.71
112,3828111217,173,70,0.42,20.71
112,3828111217,174,52,0.42,20.71
112,3828111217,175,46,0.42,20.71
112,3828111217,176,71,0.42,20.71
112,3828111217,177,67,0.42,15.47
112,3828111217,178,61,0.42,-6.42
112,3828111217,179,48,0.42,-5
112,3828111217,180,80,0.42,20.71
112,3828111217,181,48,0.42,20.71
112,3828111217,182,24,0.42,20.71
112,3828111217,183,60,0.42,20.71
112,3828111217,184,37,0.42,20.71
112,3828111217,185,70,0.42,20.71
112,3828111217,186,61,0.42,20.71
112,3828111217,187,44,0.42,20.71
112,3828111217,188,67,0.46,27.6
112,3828111217,189,42,0.47,29.14
112,3828111217,190,56,0.47,29.14
112,3828111217,191,40,0.47,29.14
112,3828111217,192,68,0.47,29.14
112,3828111217,193,31,0.47,29.14
112,3828111217,194,26,0.55,39.45
112,3828111217,195,8,0.55,39.45
112,3828111217,196,20,0.55,39.45
112,3828111217,197,15,0.55,39.45
112,3828111217,198,16,0.55,39.45
112,3828111217,199,16,0.55,39.45
112,3828111217,200,13,0.55,39.45
112,3828111217,201,28,0.55,39.45
112,3828111217,202,116,0.4,16.75
112,3828111217,203,80,0.42,20.71
112,3828111217,204,11,0.55,39.45
112,3828111217,205,55,0.55,39.45
112,3828111217,206,73,0.5,33.4
112,3828111217,207,75,0.5,33.4
112,3828111217,208,42,0.55,39.45
112,3828111217,209,34,0.55,39.45
112,3828111217,210,17,0.55,39.45
112,3828111217,211,27,0.55,39.45
112,3828111217,212,25,0.55,39.45
112,3828111217,213,34,0.55,39.45
112,3828111217,214,29,0.55,39.45
112,3828111217,215,19,0.55,39.45
112,3828111217,216,4,0.55,39.45
112,3828111217,217,8,0.55,39.45
112,3828111217,218,15,0.55,39.45
112,3828111217,219,0,0,0
112,3828111217,220,45,0.55,39.45
112,3828111217,221,29,0.55,39.45
112,3828111217,222,46,0.5,33.4
112,3828111217,223,14,0.52,35.96
112,3828111217,224,26,0.55,39.45
112,3828111217,225,27,0.55,39.45
112,3828111217,226,59,0.55,39.45
112,3828111217,227,127,0.44,24.31
112,3828111217,228,75,0.47,29.14
112,3828111217,229,27,0.49,32.04
112,3828111217,230,61,0.55,39.45
112,3828111217,231,14,0.55,39.45
112,3828111217,232,61,0.55,39.45
112,3828111217,233,14,0.55,39.45
112,3828111217,234,15,0.51,34.7
112,3828111217,235,90,0.39,14.61
112,3828111217,236,88,0.41,18.78
112,3828111217,237,52,0.51,34.7
112,3828111217,238,96,0.44,24.31
112,3828111217,239,59,0.51,34.7
112,3828111217,240,24,0.51,34.7
112,3828111217,241,54,0.51,34.7
112,3828111217,242,105,0.37,10
112,3828111217,243,70,0.51,34.7
112,3828111217,244,16,0.51,34.7
112,3828111217,245,44,0.51,34.7
112,3828111217,246,50,0.51,34.7
112,3828111217,247,148,0.37,10
112,3828111217,248,110,0.4,16.75
112,3828111217,249,22,0.51,34.7
112,3828111217,250,30,0.51,34.7
112,3828111217,251,50,0.51,34.7
112,3828111217,252,55,0.51,34.7
112,3828111217,253,81,0.51,34.7
112,3828111217,254,52,0.51,34.7
112,3828111217,255,44,0.51,34.7
112,3828111217,256,17,0.51,34.7
112,3828111217,257,37,0.51,34.7
112,3828111217,258,57,0.51,34.7
112,3828111217,259,49,0.51,34.7
112,3828111217,260,41,0.51,34.7
112,3828111217,261,89,0.51,34.7
112,3828111217,266,33,0.51,34.7
112,3828111217,267,13,0.51,34.7
112,3828111217,268,36,0.51,34.7
112,3828111217,269,21,0.51,34.7
112,3828111217,270,49,0.51,34.7
112,3828111217,271,10,0.51,34.7
112,3828111217,272,38,0.51,34.7
112,3828111217,273,39,0.51,34.7
112,3828111217,274,21,0.51,34.7
112,3828111217,275,50,0.51,34.7
112,3828111217,276,32,0.51,34.7
112,3828111217,277,36,0.51,34.7
112,3828111217,278,38,0.51,34.7
112,3828111217,279,71,0.51,34.7
112,3828111217,280,37,0.51,34.7
112,3828111217,281,64,0.51,34.7
112,3828111217,282,38,0.51,34.7
112,3828111217,283,71,0.51,34.7
112,3828111217,286,9,0.51,32.74
112,3828111217,287,67,0.51,32.74
112,3828111217,288,53,0.51,32.74
112,3828111217,289,76,0.51,32.74
112,3828111217,290,55,0.51,32.74
112,3828111217,291,115,0.51,32.74
112,3828111217,292,81,0.51,32.74
112,3828111217,293,88,0.51,32.74
112,3828111217,294,26,0.51,32.74
112,3828111217,295,49,0.51,32.74
112,3828111217,296,69,0.51,32.74
112,3828111217,297,43,0.51,32.74
112,3828111217,298,80,0.51,32.74
112,3828111217,299,81,0.51,32.74
112,3828111217,300,63,0.51,32.74
112,3828111217,301,88,0.51,28.84
112,3828111217,302,69,0.51,22.34
112,3828111217,303,63,0.51,19.77
112,3828111217,304,70,0.51,19.13
112,3828111217,305,69,0.51,20.36
112,3828111217,306,30,0.51,18.66
112,3828111217,307,157,0.44,7.36
112,3828111217,308,54,0.51,17.06
112,3828111217,309,43,0.51,16.94
112,3828111217,310,190,0.28,-52.92
112,3828111217,311,23,0.35,-22.24
112,3828111217,312,94,0.51,15.68
112,3828111217,313,64,0.51,15.68
112,3828111217,318,58,0.51,13.65
112,3828111217,319,56,0.51,13.52
112,3828111217,320,119,0.49,10.97
112,3828111217,321,80,0.51,13.52
112,3828111217,322,79,0.51,13.52
112,3828111217,323,106,0.51,13.52
112,3828111217,324,87,0.51,13.52
112,3828111217,325,129,0.49,11.01
112,3828111217,326,19,0.5,13.26
112,3828111217,327,107,0.51,13.52
112,3828111217,328,71,0.51,13.52
112,3828111217,329,61,0.51,13.52
112,3828111217,330,55,0.51,13.52
112,3828111217,331,52,0.51,13.52
112,3828111217,332,33,0.51,13.52
112,3828111217,333,46,0.51,13.52
112,3828111217,334,107,0.51,13.52
112,3828111217,335,76,0.51,13.52
112,3828111217,336,90,0.51,13.52
112,3828111217,337,70,0.51,13.52
112,3828111217,338,107,0.51,13.52
112,3828111217,339,91,0.51,13.52
112,3828111217,340,78,0.51,13.52
112,3828111217,341,89,0.52,16.33
112,3828111217,342,111,0.55,19.81
112,3828111217,343,90,0.55,28.25
112,3828111217,344,123,0.25,-39.6
112,3828111217,345,98,0.33,-8.35
112,3828111217,346,69,0.55,26.9
112,3828111217,347,59,0.55,26.74
112,3828111217,348,89,0.55,26.72
112,3828111217,349,85,0.55,26.7
112,3828111217,350,59,0.55,26.54
112,3828111217,351,85,0.55,26.36
112,3828111217,356,136,0.49,18.13
112,3828111217,357,67,0.57,29.32
112,3828111217,358,69,0.59,31.18
112,3828111217,359,76,0.59,31.18
112,3828111217,360,122,0.49,18.06
112,3828111217,361,68,0.58,30.52
112,3828111217,362,49,0.59,31.18
112,3828111217,363,65,0.59,31.18
112,3828111217,364,76,0.59,31.18
112,3828111217,365,83,0.59,31.18
112,3828111217,366,39,0.59,31.18
112,3828111217,367,43,0.59,31.18
112,3828111217,368,41,0.59,31.18
112,3828111217,369,40,0.59,31.18
112,3828111217,370,40,0.59,31.18
112,3828111217,371,34,0.59,31.18
112,3828111217,372,62,0.58,30.48
112,3828111217,373,86,0.58,30
112,3828111217,374,68,0.58,30
112,3828111217,375,60,0.58,30
112,3828111217,376,64,0.58,30
112,3828111217,377,64,0.58,30
112,3828111217,378,43,0.58,31.49
112,3828111217,379,30,0.58,33.25
112,3828111217,380,34,0.58,34.87
112,3828111217,381,27,0.58,34.31
112,3828111217,382,20,0.58,33.27
112,3828111217,383,42,0.58,33.21
112,3828111217,384,46,0.58,30.73
112,3828111217,385,47,0.58,30.48
112,3828111217,386,56,0.58,30.57
112,3828111217,387,32,0.58,30.56
112,3828111217,388,32,0.58,30.56
112,3828111217,389,43,0.58,30.55
112,3828111217,390,64,0.58,30.57
112,3828111217,391,50,0.58,30.57
112,3828111217,392,27,0.58,30.66
112,3828111217,393,52,0.58,30.62
112,3828111217,394,52,0.58,30.62
112,3828111217,395,47,0.58,30.56
112,3828111217,396,24,0.58,30.54
112,3828111217,397,16,0.58,30.44
112,3828111217,398,35,0.58,30.61
112,3828111217,399,41,0.58,30.49
